111111111111111111111111111111
25790, 30116.7, 26773.3, 29000
33000
30136.7
1, 1
0.334493
1,0,1000,1005
2,0,1000,1338
3,500,1500,1773
4,1500,2500,2508
7,4500,5500,5519
13,10500,11500,11514
39,36500,37500,37508
45,42500,43500,43504
54,51500,52500,52511
57,54500,55500,55514
60,57500,58500,58511
999999999999999999999999999999
